age,background,experience,schedule,howlong,total_lift,gender_male,BMI,diet,experience_level
30.0,Recreational or educational sports,Beginner without coach,Other,1-2 years|,1110.0,1,27.891291410434437,no diet,Amateur
28.0,No or minimal sports,Beginner with coach,Other,2-4 years|,910.0,1,25.250612244897958,normal diet,Professional
35.0,Recreational or educational sports,Beginner with coach,Other,2-4 years|,1335.0,1,34.20739619377163,normal diet,Professional
36.0,Recreational or educational sports,Advanced (Trainer/Courses),Multiple workouts per day,1-2 years|,1354.0,1,27.751834953382264,normal diet,Amateur
36.0,Recreational or educational sports,Advanced (Trainer/Courses),Multiple workouts per day,4+ years|,1225.0,1,26.602783203125,strict diet,Expert
44.0,Recreational or educational sports,Beginner with coach,Single workout per day,4+ years|,1270.0,1,24.80655324511657,normal diet,Expert
24.0,Recreational or educational sports,Advanced (Trainer/Courses),Multiple workouts per day,2-4 years|,1435.0,1,27.3659169550173,normal diet,Professional
26.0,Recreational or educational sports,Advanced (Trainer/Courses),Single workout per day,4+ years|,1500.0,1,28.2634693877551,normal diet,Expert
31.0,No or minimal sports,Advanced (Trainer/Courses),Multiple workouts per day,2-4 years|,1145.0,1,23.490755179327245,normal diet,Professional
28.0,Recreational or educational sports,Advanced (Trainer/Courses),Multiple workouts per day,2-4 years|,1445.0,1,28.5885736956953,no diet,Professional
34.0,Recreational or educational sports,Advanced (Trainer/Courses),Multiple workouts per day,4+ years|,1470.0,1,27.31674018063432,normal diet,Expert
37.0,Recreational or educational sports,Advanced (Trainer/Courses),Multiple workouts per day,4+ years|,1440.0,1,28.47800925925926,normal diet,Expert
27.0,Recreational or educational sports,Advanced (Trainer/Courses),Multiple workouts per day,1-2 years|,1470.0,1,27.70313379620942,normal diet,Amateur
40.0,Recreational or educational sports,Advanced (Trainer/Courses),Single workout per day,4+ years|,1230.0,1,25.397185465238394,normal diet,Expert
31.0,Recreational or educational sports,Advanced (Trainer/Courses),Multiple workouts per day,4+ years|,1100.0,1,22.31303312834755,normal diet,Expert
39.0,Recreational or educational sports,Beginner with coach,Single workout per day,2-4 years|,1280.0,1,24.954211300147026,normal diet,Professional
37.0,No or minimal sports,Beginner with coach,Other,2-4 years|,1205.0,1,30.986225895316803,no diet,Professional
44.0,Recreational or educational sports,Beginner with coach,Single workout per day,2-4 years|,1231.0,1,28.03074786748661,normal diet,Professional
29.0,Recreational or educational sports,Beginner with coach,Other,2-4 years|,1100.0,1,27.393132716049383,no diet,Professional
25.0,No or minimal sports,Advanced (Trainer/Courses),Other,2-4 years|,1210.0,1,25.102162269390995,no diet,Professional
37.0,Recreational or educational sports,Beginner with coach,Single workout per day,2-4 years|,1185.0,1,26.578449905482042,strict diet,Professional
29.0,No or minimal sports,Advanced (Trainer/Courses),Multiple workouts per day,2-4 years|,1542.0,1,26.31756756756757,normal diet,Professional
27.0,No or minimal sports,Advanced (Trainer/Courses),Multiple workouts per day,2-4 years|,1345.0,1,28.35034656584751,no diet,Professional
40.0,Recreational or educational sports,Advanced (Trainer/Courses),Multiple workouts per day,2-4 years|,950.0,1,25.821854912764003,no diet,Professional
44.0,Recreational or educational sports,Beginner with coach,Multiple workouts per day,4+ years|,1005.0,1,24.273221992869207,normal diet,Expert
28.0,Recreational or educational sports,Advanced (Trainer/Courses),Single workout per day,2-4 years|,1345.0,1,25.724338525051603,normal diet,Professional
27.0,Recreational or educational sports,Beginner with coach,Single workout per day,2-4 years|,1230.0,1,24.39189189189189,normal diet,Professional
44.0,Recreational or educational sports,Beginner with coach,Single workout per day,1-2 years|,1065.0,1,32.42408163265306,normal diet,Amateur
43.0,Recreational or educational sports,Advanced (Trainer/Courses),Single workout per day,4+ years|,1135.0,1,27.02142407057341,strict diet,Expert
32.0,Recreational or educational sports,Advanced (Trainer/Courses),Multiple workouts per day,1-2 years|,1411.0,1,29.020447530864196,strict diet,Amateur
31.0,Recreational or educational sports,Advanced (Trainer/Courses),Other,2-4 years|,1401.0,1,29.156057098765434,normal diet,Professional
36.0,Recreational or educational sports,Advanced (Trainer/Courses),Single workout per day,4+ years|,1202.0,1,31.79315886134068,normal diet,Expert
27.0,Recreational or educational sports,Advanced (Trainer/Courses),Multiple workouts per day,2-4 years|,1190.0,1,26.0783574687562,normal diet,Professional
28.0,Recreational or educational sports,Advanced (Trainer/Courses),Multiple workouts per day,2-4 years|,1463.0,1,26.62878787878788,strict diet,Professional
33.0,Recreational or educational sports,Beginner with coach,Single workout per day,2-4 years|,1125.0,1,25.84015963032976,normal diet,Professional
27.0,Recreational or educational sports,Advanced (Trainer/Courses),Multiple workouts per day,4+ years|,1515.0,1,26.951561065197428,normal diet,Expert
34.0,Recreational or educational sports,Advanced (Trainer/Courses),Other,2-4 years|,1025.0,1,27.976530612244897,strict diet,Professional
24.0,Professional sports,Advanced (Trainer/Courses),Multiple workouts per day,2-4 years|,1265.0,1,25.821854912764003,normal diet,Professional
34.0,Recreational or educational sports,Advanced (Trainer/Courses),Decline to answer,2-4 years|,1270.0,1,31.132857142857144,no diet,Professional
41.0,Recreational or educational sports,Beginner with coach,Single workout per day,2-4 years|,1047.0,1,26.308256172839506,normal diet,Professional
29.0,Recreational or educational sports,Advanced (Trainer/Courses),Multiple workouts per day,2-4 years|,1014.0,1,23.72382920110193,no diet,Professional
36.0,No or minimal sports,Beginner with coach,Single workout per day,4+ years|,1265.0,1,27.799961419753085,normal diet,Expert
32.0,Recreational or educational sports,Advanced (Trainer/Courses),Multiple workouts per day,2-4 years|,1603.0,1,30.12857142857143,normal diet,Professional
36.0,Recreational or educational sports,Advanced (Trainer/Courses),Single workout per day,4+ years|,992.0,1,24.900200490086878,normal diet,Expert
33.0,Professional sports,Advanced (Trainer/Courses),Single workout per day,4+ years|,1411.0,1,25.74542222222222,normal diet,Expert
26.0,Recreational or educational sports,Advanced (Trainer/Courses),Multiple workouts per day,2-4 years|,1150.0,1,25.541522491349482,strict diet,Professional
30.0,Recreational or educational sports,Beginner without coach,Multiple workouts per day,2-4 years|,1395.0,1,28.43014705882353,normal diet,Professional
33.0,No or minimal sports,Beginner without coach,Single workout per day,1-2 years|,1308.0,1,27.02142407057341,no diet,Amateur
41.0,Recreational or educational sports,Advanced (Trainer/Courses),Single workout per day,2-4 years|,800.0,1,26.30601469237833,normal diet,Professional
34.0,Recreational or educational sports,Beginner with coach,Single workout per day,2-4 years|,1275.0,1,27.799961419753085,normal diet,Professional
32.0,Professional sports,Advanced (Trainer/Courses),Multiple workouts per day,2-4 years|,1260.0,1,26.578449905482042,normal diet,Professional
28.0,Recreational or educational sports,Beginner without coach,Single workout per day,1-2 years|,1180.0,1,23.12088888888889,no diet,Amateur
29.0,Recreational or educational sports,Advanced (Trainer/Courses),Single workout per day,2-4 years|,1030.0,1,25.630208333333332,normal diet,Professional
31.0,Recreational or educational sports,Advanced (Trainer/Courses),Single workout per day,2-4 years|,1078.0,1,25.98781768536022,strict diet,Professional
33.0,Recreational or educational sports,Beginner without coach,Single workout per day,1-2 years|,1055.0,1,29.128536422365784,normal diet,Amateur
28.0,No or minimal sports,Advanced (Trainer/Courses),Multiple workouts per day,4+ years|,1625.0,1,28.47800925925926,no diet,Expert
37.0,Recreational or educational sports,Advanced (Trainer/Courses),Multiple workouts per day,4+ years|,1320.0,1,29.754956560481176,normal diet,Expert
38.0,Recreational or educational sports,Beginner with coach,Single workout per day,2-4 years|,1090.0,1,29.531611006091158,normal diet,Professional
38.0,Recreational or educational sports,Advanced (Trainer/Courses),Multiple workouts per day,4+ years|,1100.0,1,23.12109967954124,normal diet,Expert
30.0,Recreational or educational sports,Advanced (Trainer/Courses),Multiple workouts per day,2-4 years|,1505.0,1,27.49511111111111,strict diet,Professional
47.0,No or minimal sports,Advanced (Trainer/Courses),Single workout per day,4+ years|,1065.0,1,31.746481831547992,normal diet,Expert
25.0,Recreational or educational sports,Advanced (Trainer/Courses),Multiple workouts per day,1-2 years|,1190.0,1,25.085423875432525,normal diet,Amateur
26.0,Recreational or educational sports,Advanced (Trainer/Courses),Multiple workouts per day,2-4 years|,1385.0,1,27.194009125173576,no diet,Professional
34.0,Recreational or educational sports,Beginner with coach,Single workout per day,4+ years|,750.0,1,23.053626543209877,normal diet,Expert
29.0,Recreational or educational sports,Beginner with coach,Single workout per day,1-2 years|,1020.0,1,23.053626543209877,normal diet,Amateur
